# Program:featureCounts v2.0.1; Command:"featureCounts" "-t" "exon" "-g" "Name" "-a" "NCTC8325.gff3.gz" "-o" "counts.tsv" "SRR935091.sorted.bam" "SRR935090.sorted.bam" "SRR935092.sorted.bam" 
Geneid	Chr	Start	End	Strand	Length	SRR935091.sorted.bam	SRR935090.sorted.bam	SRR935092.sorted.bam
ABD29612-1	Chromosome	459625	460350	+	726	0	1	0
ABD29613-1	Chromosome	460343	460591	+	249	0	1	0
ABD29614-1	Chromosome	460593	461432	+	840	2	0	1
ABD29615-1	Chromosome	461457	461612	-	156	0	1	1
ABD29616-1	Chromosome	461717	463690	+	1974	3	20	24
ABD29617-1	Chromosome	463721	464494	+	774	6	5	8
ABD29618-1	Chromosome	464661	465197	+	537	0	2	0
ABD29619-1	Chromosome	465208	466101	+	894	1	2	2
ABD29620-1	Chromosome	466201	466464	+	264	7	7	8
ABD29621-1	Chromosome	466774	467622	+	849	6	3	5
ABD29622-1	Chromosome	467636	468460	+	825	6	5	10
ABD29623-1	Chromosome	468477	468857	+	381	7	2	5
ABD29624-1	Chromosome	468929	469231	+	303	6	2	4
ABD29625-1	Chromosome	469421	469552	+	132	0	0	0
ABD29626-1	Chromosome	469575	470927	+	1353	1	4	13
ABD29627-1	Chromosome	471074	472039	+	966	2	16	24
ABD29628-1	Chromosome	472097	472207	-	111	2	4	17
ABD29629-1	Chromosome	472189	472842	+	654	21	96	153
ABD29630-1	Chromosome	473153	473725	+	573	0	2	3
ABD29631-1	Chromosome	473725	477231	+	3507	5	1	10
ABD29632-1	Chromosome	477221	478747	+	1527	5	1	4
ABD29633-1	Chromosome	478747	479940	+	1194	7	2	8
ABD29634-1	Chromosome	479937	480200	+	264	1	0	1
ABD29635-1	Chromosome	480218	480610	+	393	3	2	2
ABD29636-1	Chromosome	480715	481116	+	402	3	17	19
ABD29637-1	Chromosome	481296	482591	+	1296	2	5	9
ABD29638-1	Chromosome	482596	483135	+	540	0	4	5
ABD29639-1	Chromosome	483392	485485	+	2094	9	39	66
ABD29640-1	Chromosome	485714	486595	+	882	0	0	4
ABD29641-1	Chromosome	486774	487706	+	933	10	24	17
ABD29642-1	Chromosome	487922	488725	+	804	0	0	3
ABD29643-1	Chromosome	488703	489068	+	366	1	1	1
ABD29644-1	Chromosome	489065	489541	+	477	0	3	2
ABD29645-1	Chromosome	489935	490027	+	93	1	0	3
ABD29646-1	Chromosome	490080	491567	+	1488	5	20	41
EBG00001047242-1	Chromosome	492125	492239	-	115	0	0	0
SAOUHSC_R00016-1	Chromosome	492125	492239	+	115	0	0	0
EBG00001047351-1	Chromosome	492252	492324	-	73	0	0	0
SAOUHSC_T00059-1	Chromosome	492252	492327	+	76	0	0	0
EBG00001047305-1	Chromosome	492344	492416	-	73	0	0	0
SAOUHSC_T00053-1	Chromosome	492344	492419	+	76	0	0	0
EBG00001047377-1	Chromosome	492426	492498	-	73	0	0	0
SAOUHSC_T00035-1	Chromosome	492426	492498	+	73	0	0	0
EBG00001047403-1	Chromosome	492532	492603	-	72	0	0	0
SAOUHSC_T00021-1	Chromosome	492532	492606	+	75	0	0	0
EBG00001047358-1	Chromosome	492614	492699	-	86	0	0	0
SAOUHSC_T00030-1	Chromosome	492614	492702	+	89	0	0	0
EBG00001047386-1	Chromosome	492708	492781	-	74	0	0	0
SAOUHSC_T0004-1	Chromosome	492708	492784	+	77	0	0	0
SAOUHSC_T00044-1	Chromosome	492805	492878	+	74	0	0	0
EBG00001047238-1	Chromosome	492805	492878	-	74	0	0	0
EBG00001047390-1	Chromosome	492902	492974	-	73	0	0	0
SAOUHSC_T0001-1	Chromosome	492902	492977	+	76	0	0	0
SAOUHSC_R0002-1	Chromosome	493099	494653	+	1555	0	0	0
EBG00001047382-1	Chromosome	493105	494649	-	1545	0	0	0
SAOUHSC_R0007-1	Chromosome	495018	497940	+	2923	0	0	0
EBG00001047293-1	Chromosome	495018	497940	-	2923	0	0	0
EBG00001047353-1	Chromosome	495030	495184	-	155	0	0	0
EBG00001047274-1	Chromosome	497327	497434	-	108	0	0	0
EBG00001047333-1	Chromosome	498013	498127	-	115	0	0	0
SAOUHSC_R00012-1	Chromosome	498013	498127	+	115	0	0	0
ABD29647-1	Chromosome	498652	500034	-	1383	0	1	3
ABD29648-1	Chromosome	500138	501025	+	888	0	5	14
ABD29649-1	Chromosome	501029	501589	+	561	0	7	20
ABD29650-1	Chromosome	501797	503011	-	1215	6	11	12
ABD29651-1	Chromosome	503169	503630	+	462	1	6	3
ABD29652-1	Chromosome	503727	504215	+	489	3	4	2
ABD29653-1	Chromosome	504205	505212	+	1008	2	5	13
ABD29654-1	Chromosome	505226	507682	+	2457	9	19	45
ABD29655-1	Chromosome	507610	507768	-	159	0	0	0
ABD29656-1	Chromosome	508197	509531	+	1335	7	3	7
ABD29657-1	Chromosome	509574	510629	+	1056	13	0	12
ABD29658-1	Chromosome	511186	512640	+	1455	14	8	31
ABD29659-1	Chromosome	513063	513710	+	648	2	3	2
ABD29660-1	Chromosome	513694	515094	+	1401	3	4	5
ABD29661-1	Chromosome	515087	515491	+	405	1	0	0
ABD29662-1	Chromosome	515499	516245	+	747	0	5	3
ABD29663-1	Chromosome	516245	516769	+	525	2	1	5
ABD29664-1	Chromosome	516850	517419	+	570	4	2	1
ABD29665-1	Chromosome	517697	517915	+	219	0	5	5
ABD29666-1	Chromosome	517928	518476	+	549	3	10	11
ABD29667-1	Chromosome	518657	519079	+	423	9	115	138
ABD29668-1	Chromosome	519287	519979	+	693	23	175	176
ABD29669-1	Chromosome	520251	520751	+	501	23	150	211
ABD29670-1	Chromosome	520794	521162	+	369	12	87	147
ABD29671-1	Chromosome	521337	521945	+	609	0	2	5
ABD29672-1	Chromosome	522301	525711	+	3411	150	79	142
ABD29673-1	Chromosome	525875	529471	+	3597	181	114	181
ABD29674-1	Chromosome	529608	529862	+	255	12	37	62
ABD29675-1	Chromosome	529960	530373	+	414	36	80	167
ABD29676-1	Chromosome	530439	530909	+	471	41	80	131
ABD29677-1	Chromosome	531032	533113	+	2082	204	421	526
ABD29678-1	Chromosome	533330	534514	+	1185	187	340	626
ABD29679-1	Chromosome	534796	535971	-	1176	2	3	4
ABD29680-1	Chromosome	536142	537329	+	1188	0	3	5
ABD29681-1	Chromosome	537595	538473	+	879	5	16	31
ABD29682-1	Chromosome	538632	540269	+	1638	0	0	1
ABD29683-1	Chromosome	540483	541448	+	966	0	1	2
ABD29684-1	Chromosome	541783	542859	+	1077	1	6	12
ABD29685-1	Chromosome	542832	543005	+	174	0	1	0
ABD29686-1	Chromosome	543109	543792	+	684	1	1	4
ABD29687-1	Chromosome	543908	544570	-	663	3	3	3
ABD29688-1	Chromosome	544563	545180	-	618	3	1	3
ABD29689-1	Chromosome	545247	545717	+	471	1	2	2
ABD29690-1	Chromosome	545864	546733	+	870	2	4	6
ABD29691-1	Chromosome	546754	547320	+	567	0	2	4
ABD32045-1	Chromosome	547608	547865	-	258	0	0	0
ABD29692-1	Chromosome	547751	550738	+	2988	2	12	4
ABD29693-1	Chromosome	551105	555154	+	4050	2	34	1
ABD29694-1	Chromosome	555273	556745	+	1473	0	2	2
ABD29695-1	Chromosome	556869	558359	-	1491	4	4	5
ABD29696-1	Chromosome	558641	559519	-	879	4	4	12
ABD29697-1	Chromosome	559532	560197	-	666	2	1	4
ABD29698-1	Chromosome	560211	560573	-	363	1	4	7
ABD29699-1	Chromosome	560849	561607	+	759	0	2	1
ABD29700-1	Chromosome	561684	562316	+	633	1	6	18
ABD29701-1	Chromosome	562363	562866	+	504	0	5	12
ABD29702-1	Chromosome	562979	563626	+	648	3	2	3
ABD29703-1	Chromosome	564128	565528	+	1401	4	0	5
ABD29704-1	Chromosome	566072	567448	+	1377	0	0	1
ABD29705-1	Chromosome	567450	568589	+	1140	1	0	3
ABD29706-1	Chromosome	568564	568929	+	366	0	0	1
ABD29707-1	Chromosome	568932	569201	+	270	0	0	0
ABD29708-1	Chromosome	569402	569569	-	168	8	5	2
ABD29709-1	Chromosome	570076	570906	-	831	2	3	4
ABD29710-1	Chromosome	571090	571746	+	657	0	1	1
ABD29711-1	Chromosome	571747	572127	+	381	0	2	5
ABD29712-1	Chromosome	572260	572628	+	369	0	1	1
ABD29713-1	Chromosome	572749	574233	+	1485	3	3	2
ABD29714-1	Chromosome	574375	574827	-	453	0	0	1
ABD29715-1	Chromosome	574840	575490	-	651	0	0	1
EBG00001047250-1	Chromosome	575845	575983	-	139	0	0	0
ABD29716-1	Chromosome	576153	576905	-	753	3	5	17
ABD29717-1	Chromosome	577073	578059	+	987	3	15	29
ABD29718-1	Chromosome	578134	578898	+	765	2	7	18
ABD29719-1	Chromosome	579485	580405	+	921	0	2	7
ABD29720-1	Chromosome	580410	581393	+	984	0	2	2
ABD29721-1	Chromosome	581406	582482	+	1077	1	6	5
ABD29722-1	Chromosome	582659	583000	+	342	0	1	1
ABD29723-1	Chromosome	583052	584374	-	1323	0	3	2
ABD29724-1	Chromosome	584361	584777	-	417	0	1	0
ABD29725-1	Chromosome	584859	584960	+	102	0	0	0
ABD29726-1	Chromosome	585426	586835	+	1410	0	3	1
ABD29727-1	Chromosome	586908	587465	+	558	0	0	0
ABD29728-1	Chromosome	587591	588232	+	642	0	1	1
ABD29729-1	Chromosome	588392	588937	+	546	1	1	0
ABD29730-1	Chromosome	589012	589641	+	630	0	0	2
ABD29731-1	Chromosome	589698	589814	+	117	0	0	0
ABD29732-1	Chromosome	589837	590430	+	594	0	1	0
ABD29733-1	Chromosome	590589	591230	+	642	0	0	0
ABD29734-1	Chromosome	591277	591744	+	468	0	0	1
ABD29735-1	Chromosome	591777	591905	+	129	0	0	0
ABD29736-1	Chromosome	592358	592987	+	630	0	0	2
ABD29737-1	Chromosome	593183	593752	+	570	0	0	0
ABD29738-1	Chromosome	593789	594424	+	636	0	0	0
ABD29739-1	Chromosome	594375	594635	+	261	0	0	1
ABD29740-1	Chromosome	594659	595285	+	627	0	0	1
ABD29741-1	Chromosome	595555	596493	+	939	5	1	2
ABD29742-1	Chromosome	596704	597240	+	537	2	1	2
ABD29743-1	Chromosome	597409	597885	+	477	4	0	5
ABD29744-1	Chromosome	597925	599220	+	1296	11	10	4
ABD29745-1	Chromosome	599248	599769	+	522	6	1	6
ABD29746-1	Chromosome	600268	601278	+	1011	0	0	1
ABD29747-1	Chromosome	601353	601460	+	108	0	0	0
ABD29748-1	Chromosome	601586	601969	+	384	1	0	1
ABD29749-1	Chromosome	601966	603627	+	1662	2	5	9
ABD29750-1	Chromosome	604016	604651	+	636	0	0	0
ABD29751-1	Chromosome	605090	605917	+	828	0	0	0
ABD29752-1	Chromosome	606065	607015	+	951	1	2	0
ABD29753-1	Chromosome	607070	607789	+	720	0	2	4
ABD29754-1	Chromosome	607773	608573	+	801	0	0	8
ABD29755-1	Chromosome	608709	609215	+	507	1	6	8
ABD29756-1	Chromosome	609377	610093	+	717	1	1	2
ABD29757-1	Chromosome	610262	611050	+	789	2	0	0
ABD29758-1	Chromosome	611301	611675	-	375	3	7	13
ABD29759-1	Chromosome	612623	613516	-	894	0	2	0
ABD29760-1	Chromosome	613747	614088	-	342	0	0	0
ABD29761-1	Chromosome	614350	614910	+	561	0	0	0
ABD29762-1	Chromosome	614929	617331	+	2403	1	0	1
ABD29763-1	Chromosome	617318	617743	+	426	0	0	0
ABD29764-1	Chromosome	617740	618084	+	345	0	0	0
ABD29765-1	Chromosome	618074	619570	+	1497	2	1	0
ABD29766-1	Chromosome	619571	620053	+	483	1	0	1
ABD29767-1	Chromosome	620013	620339	-	327	1	1	0
ABD29768-1	Chromosome	620306	620764	+	459	1	0	0
ABD29769-1	Chromosome	621143	623146	+	2004	3	6	6
EBG00001047423-1	Chromosome	623341	623780	+	440	27	45	7
ABD29770-1	Chromosome	624572	625510	-	939	39	92	4
ABD29771-1	Chromosome	625507	626343	-	837	20	50	4
ABD29772-1	Chromosome	626337	627080	-	744	17	63	8
ABD29773-1	Chromosome	627202	627846	+	645	1	3	3
ABD29774-1	Chromosome	627926	628678	-	753	0	0	0
ABD29775-1	Chromosome	628914	629678	+	765	9	4	6
ABD29776-1	Chromosome	629739	630533	-	795	5	2	6
ABD29777-1	Chromosome	630880	631692	+	813	1	9	12
ABD29778-1	Chromosome	631791	632894	+	1104	0	2	1
ABD29779-1	Chromosome	632891	633952	+	1062	2	1	3
ABD29780-1	Chromosome	634015	634413	+	399	0	0	0
ABD29781-1	Chromosome	634530	635825	-	1296	2	3	5
ABD29782-1	Chromosome	636246	637973	+	1728	0	2	5
ABD29783-1	Chromosome	638332	639561	+	1230	10	13	12
EBG00001047278-1	Chromosome	639711	639887	+	177	0	0	0
ABD29784-1	Chromosome	639816	639908	+	93	0	0	0
ABD29785-1	Chromosome	640086	640919	+	834	6	1	4
ABD29786-1	Chromosome	641201	641998	+	798	0	1	4
ABD29787-1	Chromosome	642034	643038	+	1005	0	2	6
ABD29788-1	Chromosome	643035	644051	+	1017	0	1	6
ABD29789-1	Chromosome	644285	645253	+	969	0	0	0
ABD29790-1	Chromosome	645295	645879	+	585	0	0	0
ABD29791-1	Chromosome	645872	646234	+	363	1	0	0
ABD29792-1	Chromosome	646350	646847	+	498	1	9	21
ABD29793-1	Chromosome	647303	648370	+	1068	3	16	23
ABD29794-1	Chromosome	648521	649564	+	1044	2	1	1
ABD32046-1	Chromosome	649729	649917	-	189	0	0	2
ABD29795-1	Chromosome	649893	650321	+	429	0	0	3
ABD29796-1	Chromosome	650530	651036	-	507	2	2	2
ABD29797-1	Chromosome	651149	652072	+	924	1	0	2
ABD29798-1	Chromosome	652088	652762	+	675	1	0	1
ABD29799-1	Chromosome	652755	653795	+	1041	0	3	4
ABD29800-1	Chromosome	653939	654700	+	762	1	1	0
ABD29801-1	Chromosome	654690	656579	+	1890	3	5	9
ABD29802-1	Chromosome	657304	657921	+	618	17	7	11
ABD29803-1	Chromosome	657937	658944	+	1008	43	6	14
ABD29804-1	Chromosome	659532	660329	-	798	5	9	33
ABD29805-1	Chromosome	660690	661334	+	645	3	1	7
ABD29806-1	Chromosome	662031	664181	+	2151	2	2	5
ABD29807-1	Chromosome	664261	664686	+	426	0	3	6
ABD29808-1	Chromosome	664876	665592	+	717	1	3	3
ABD29809-1	Chromosome	665592	666065	+	474	3	5	3
ABD29810-1	Chromosome	666157	666273	+	117	0	0	0
ABD29811-1	Chromosome	666418	667062	+	645	0	4	1
ABD29812-1	Chromosome	667178	668044	+	867	0	5	5
ABD29813-1	Chromosome	668104	668199	+	96	0	0	1
ABD29814-1	Chromosome	668245	669465	+	1221	2	1	3
ABD29815-1	Chromosome	669462	669950	+	489	0	1	1
ABD29816-1	Chromosome	670049	670738	-	690	0	0	2
ABD29817-1	Chromosome	670865	671308	+	444	0	0	0
ABD29818-1	Chromosome	671375	671770	+	396	5	1	2
ABD29819-1	Chromosome	671908	672207	+	300	2	1	3
ABD29820-1	Chromosome	672287	672829	+	543	0	1	1
ABD29821-1	Chromosome	672925	673491	-	567	1	0	4
ABD29822-1	Chromosome	673493	673951	-	459	1	1	2
ABD29823-1	Chromosome	673954	674637	-	684	0	1	1
ABD29824-1	Chromosome	674809	675684	-	876	3	2	4
ABD29825-1	Chromosome	675903	677534	+	1632	1	1	2
ABD29826-1	Chromosome	677531	679204	+	1674	3	1	5
ABD29827-1	Chromosome	679331	679774	-	444	28	31	56
ABD29828-1	Chromosome	680001	680927	+	927	1	0	1
ABD29829-1	Chromosome	681030	681938	+	909	2	4	3
ABD29830-1	Chromosome	681973	682260	+	288	0	0	2
ABD29831-1	Chromosome	682543	684096	+	1554	2	0	2
ABD29832-1	Chromosome	684182	685555	+	1374	0	1	6
ABD29833-1	Chromosome	685710	686057	-	348	1	0	2
ABD29834-1	Chromosome	685991	686608	-	618	0	2	3
ABD29835-1	Chromosome	686794	687216	-	423	0	0	3
ABD29836-1	Chromosome	687425	688591	+	1167	3	3	1
ABD29837-1	Chromosome	688884	689336	+	453	3	2	0
ABD29838-1	Chromosome	689510	689992	+	483	0	0	0
ABD29839-1	Chromosome	690242	691006	+	765	0	2	4
ABD29840-1	Chromosome	691003	691923	+	921	0	4	4
ABD29841-1	Chromosome	691929	693887	+	1959	1	7	16
ABD29842-1	Chromosome	693941	694114	-	174	0	0	0
ABD29843-1	Chromosome	694195	695376	+	1182	6	1	5
ABD29844-1	Chromosome	695597	696946	+	1350	4	4	14
ABD29845-1	Chromosome	697168	698007	+	840	0	0	2
ABD29846-1	Chromosome	698139	699122	+	984	0	1	4
ABD29847-1	Chromosome	699194	700249	-	1056	1	9	7
ABD29848-1	Chromosome	700249	700935	-	687	3	10	4
ABD29849-1	Chromosome	700910	701383	-	474	1	4	1
ABD29850-1	Chromosome	701725	702165	-	441	0	2	2
ABD29851-1	Chromosome	702445	703029	-	585	0	4	4
ABD29852-1	Chromosome	703128	703841	-	714	3	2	5
ABD29853-1	Chromosome	703845	704264	-	420	1	0	2
ABD29854-1	Chromosome	704266	704934	-	669	0	0	4
ABD29855-1	Chromosome	705285	705878	+	594	0	0	1
ABD29856-1	Chromosome	705862	707013	+	1152	0	0	1
ABD29857-1	Chromosome	707013	707621	+	609	0	3	2
ABD29858-1	Chromosome	707687	707893	+	207	0	0	0
EBG00001047248-1	Chromosome	707753	707832	+	80	0	0	0
ABD29859-1	Chromosome	707981	708691	+	711	1	0	0
ABD29860-1	Chromosome	708675	709679	+	1005	2	2	9
ABD29861-1	Chromosome	710153	712093	+	1941	17	31	66
ABD32047-1	Chromosome	712235	712393	-	159	0	0	0
ABD29862-1	Chromosome	712364	714247	+	1884	4	3	5
ABD29863-1	Chromosome	714259	716040	+	1782	1	0	8
ABD29864-1	Chromosome	716262	717239	+	978	12	2	2
ABD29865-1	Chromosome	717232	718746	+	1515	29	5	2
ABD29866-1	Chromosome	718986	720044	+	1059	3	0	1
ABD29867-1	Chromosome	720395	720937	+	543	3	0	3
ABD29868-1	Chromosome	721050	721148	+	99	0	0	0
ABD29869-1	Chromosome	721561	722478	-	918	0	0	0
ABD29870-1	Chromosome	722569	722670	+	102	0	0	0
ABD29871-1	Chromosome	722748	724253	-	1506	0	33	25
ABD29872-1	Chromosome	724594	725094	-	501	3	5	7
ABD29873-1	Chromosome	725114	725848	-	735	1	3	4
ABD29874-1	Chromosome	726781	727179	+	399	0	2	9
ABD29875-1	Chromosome	727082	729247	+	2166	7	31	46
ABD29876-1	Chromosome	729365	730336	+	972	4	20	22
ABD29877-1	Chromosome	730469	730573	+	105	0	0	0
ABD29878-1	Chromosome	730850	731005	+	156	0	0	0
ABD29879-1	Chromosome	731044	732015	+	972	0	0	0
ABD29880-1	Chromosome	732002	732958	+	957	0	1	1
ABD29881-1	Chromosome	732955	733716	+	762	0	0	1
ABD29882-1	Chromosome	733835	734863	+	1029	0	3	2
ABD29883-1	Chromosome	735180	735494	-	315	2	0	3
ABD29884-1	Chromosome	735512	736435	-	924	1	4	10
ABD29885-1	Chromosome	736562	737080	-	519	0	1	3
ABD29886-1	Chromosome	737200	738078	+	879	0	2	3
ABD29887-1	Chromosome	738232	738552	+	321	0	3	3
ABD29888-1	Chromosome	738977	740101	+	1125	1	8	6
ABD29889-1	Chromosome	740290	741516	-	1227	4	7	14
ABD29890-1	Chromosome	741530	742024	-	495	1	2	4
ABD29891-1	Chromosome	742042	742803	-	762	0	1	2
ABD29892-1	Chromosome	742999	744069	-	1071	2	4	5
ABD29893-1	Chromosome	744387	745442	+	1056	1	5	7
ABD29894-1	Chromosome	745612	746253	-	642	3	1	1
ABD29895-1	Chromosome	746397	746780	+	384	2	9	9
ABD29896-1	Chromosome	747288	748226	+	939	0	0	0
ABD29897-1	Chromosome	748219	748893	+	675	0	0	0
ABD29898-1	Chromosome	748954	749526	+	573	5	4	5
ABD29899-1	Chromosome	749940	752471	+	2532	1	16	30
ABD29900-1	Chromosome	752513	752617	+	105	0	0	0
ABD29901-1	Chromosome	753021	753896	+	876	0	2	3
ABD29902-1	Chromosome	754050	754157	+	108	0	0	0
ABD29903-1	Chromosome	754305	755144	+	840	0	0	0
ABD29904-1	Chromosome	755318	755968	+	651	0	5	2
ABD29905-1	Chromosome	755965	756201	+	237	0	0	1
ABD29906-1	Chromosome	756470	757501	+	1032	0	0	2
ABD29907-1	Chromosome	757511	758527	+	1017	0	0	0
ABD32048-1	Chromosome	758565	758723	-	159	0	0	0
ABD29908-1	Chromosome	758680	759654	+	975	1	0	2
ABD29909-1	Chromosome	759662	762508	+	2847	3	5	8
ABD29910-1	Chromosome	763170	764102	+	933	2	2	3
ABD29911-1	Chromosome	764108	764947	+	840	2	1	2
ABD29912-1	Chromosome	764955	765440	+	486	1	1	0
ABD29913-1	Chromosome	765448	766887	+	1440	4	4	9
ABD29914-1	Chromosome	766954	767889	+	936	4	12	14
ABD29915-1	Chromosome	768263	768688	-	426	0	1	1
ABD29916-1	Chromosome	768982	769794	+	813	0	4	2
ABD29917-1	Chromosome	769791	770786	+	996	2	2	8
ABD29918-1	Chromosome	770896	771840	+	945	1	2	4
SAOUHSC_T0005-1	Chromosome	772155	772226	-	72	0	0	0
EBG00001047415-1	Chromosome	772155	772226	+	72	0	0	0
ABD29919-1	Chromosome	772413	773000	+	588	3	18	36
ABD29920-1	Chromosome	773243	774145	-	903	1	1	2
EBG00001047307-1	Chromosome	774294	774417	-	124	0	0	0
ABD29921-1	Chromosome	774848	775477	+	630	0	1	0
ABD29922-1	Chromosome	776119	777132	+	1014	3	65	60
ABD29923-1	Chromosome	777185	778195	+	1011	13	135	156
ABD29924-1	Chromosome	778334	779524	+	1191	3	21	33
ABD29925-1	Chromosome	779646	780407	+	762	2	27	28
ABD29926-1	Chromosome	780410	781927	+	1518	3	45	42
ABD29927-1	Chromosome	782057	783361	+	1305	103	66	118
ABD29928-1	Chromosome	783701	784159	+	459	1	1	3
ABD29929-1	Chromosome	784184	784459	+	276	4	2	4
ABD29930-1	Chromosome	784575	785315	+	741	2	3	3
ABD29931-1	Chromosome	785349	787721	+	2373	3	18	15
ABD29932-1	Chromosome	787743	788207	+	465	0	3	3
EBG00001047375-1	Chromosome	788298	788659	-	362	410	194	398
ABD29933-1	Chromosome	788981	789262	+	282	0	0	1
ABD29934-1	Chromosome	789529	789852	-	324	0	0	0
ABD29935-1	Chromosome	789868	790014	-	147	0	1	0
ABD29936-1	Chromosome	790206	790934	-	729	1	1	1
ABD29937-1	Chromosome	791370	791525	+	156	0	0	0
ABD29938-1	Chromosome	791533	792054	+	522	0	0	0
ABD29939-1	Chromosome	792193	792723	+	531	0	1	0
ABD29940-1	Chromosome	792986	795769	+	2784	4	2	7
ABD29941-1	Chromosome	795990	796109	+	120	0	0	0
ABD29942-1	Chromosome	796163	797515	+	1353	0	0	0
ABD29943-1	Chromosome	797866	798888	+	1023	1	0	0
ABD29944-1	Chromosome	799223	799693	+	471	1	0	0
ABD29945-1	Chromosome	800034	800720	+	687	1	0	0
ABD29946-1	Chromosome	801077	801277	+	201	0	22	8
ABD29947-1	Chromosome	801773	801991	-	219	0	1	1
ABD29948-1	Chromosome	802053	802337	-	285	0	0	1
ABD29949-1	Chromosome	802425	802994	-	570	0	1	0
ABD29950-1	Chromosome	803182	803370	-	189	0	1	1
ABD29951-1	Chromosome	803399	803659	-	261	0	2	1
ABD29952-1	Chromosome	804000	804203	+	204	3	0	1
ABD29953-1	Chromosome	804200	804436	-	237	2	1	0
ABD29954-1	Chromosome	804682	805242	+	561	2	1	1
ABD29955-1	Chromosome	805315	805932	-	618	0	3	2
ABD29956-1	Chromosome	806087	806581	-	495	0	3	3
ABD29957-1	Chromosome	806980	807402	-	423	1	0	0
ABD29958-1	Chromosome	807550	808266	+	717	0	0	0
ABD29959-1	Chromosome	808349	808888	+	540	1	2	4
ABD29960-1	Chromosome	809038	809358	-	321	1	0	6
ABD29961-1	Chromosome	809502	809858	+	357	1	0	4
ABD29962-1	Chromosome	810016	810396	+	381	4	7	18
ABD29963-1	Chromosome	810460	810573	+	114	0	0	1
ABD29964-1	Chromosome	810575	811453	+	879	1	0	0
ABD29965-1	Chromosome	811872	811985	+	114	0	0	0
ABD29966-1	Chromosome	812195	812581	+	387	0	1	1
ABD29967-1	Chromosome	812574	812870	+	297	0	0	1
ABD29968-1	Chromosome	813120	814145	+	1026	0	3	4
ABD29969-1	Chromosome	814138	814833	+	696	1	1	0
ABD29970-1	Chromosome	814851	815672	+	822	0	1	0
ABD29971-1	Chromosome	816026	816220	+	195	2	0	0
ABD29972-1	Chromosome	816453	817304	-	852	6	5	8
ABD29973-1	Chromosome	817632	818393	+	762	11	7	10
ABD29974-1	Chromosome	818491	819798	+	1308	22	11	24
ABD29975-1	Chromosome	819904	821154	+	1251	14	7	16
ABD29976-1	Chromosome	821144	821608	+	465	13	3	9
ABD29977-1	Chromosome	821759	823156	+	1398	30	19	26
ABD29978-1	Chromosome	823343	823480	+	138	0	0	0
ABD29979-1	Chromosome	823486	823800	-	315	1	0	0
ABD29980-1	Chromosome	824165	825205	+	1041	1	2	0
ABD29981-1	Chromosome	825219	826286	+	1068	0	0	1
ABD29982-1	Chromosome	826353	826451	+	99	0	0	0
ABD29983-1	Chromosome	826499	827347	+	849	2	0	1
ABD29984-1	Chromosome	827360	828187	+	828	2	0	5
ABD29985-1	Chromosome	828214	829533	+	1320	2	3	7
ABD29986-1	Chromosome	829617	830534	+	918	6	7	27
ABD29987-1	Chromosome	830664	831047	+	384	1	2	4
ABD29988-1	Chromosome	831126	831392	-	267	1	0	1
ABD29989-1	Chromosome	831490	831924	+	435	0	1	3
ABD29990-1	Chromosome	831924	832703	+	780	0	3	5
ABD29991-1	Chromosome	832811	833695	+	885	1	2	7
ABD29992-1	Chromosome	833949	834059	+	111	0	0	0
ABD29993-1	Chromosome	834056	834259	+	204	2	0	0
ABD29994-1	Chromosome	834275	835732	+	1458	12	8	25
ABD29995-1	Chromosome	835729	836943	+	1215	10	16	20
ABD29996-1	Chromosome	836961	837197	+	237	0	1	7
ABD29997-1	Chromosome	837194	838369	+	1176	12	22	39
ABD29998-1	Chromosome	838632	838874	-	243	1	7	16
ABD29999-1	Chromosome	838975	839298	+	324	2	0	4
ABD30000-1	Chromosome	839357	840421	-	1065	2	6	11
ABD30001-1	Chromosome	840738	840974	+	237	0	0	1
ABD30002-1	Chromosome	840987	841346	+	360	0	3	5
ABD30003-1	Chromosome	841800	843008	+	1209	7	27	88
ABD30004-1	Chromosome	843139	844614	+	1476	1	4	5
ABD30005-1	Chromosome	845025	846341	+	1317	4	4	2
ABD30006-1	Chromosome	846360	846734	+	375	4	0	4
ABD30007-1	Chromosome	846790	847944	-	1155	0	1	1
ABD30008-1	Chromosome	848193	848549	-	357	0	1	5
ABD30009-1	Chromosome	848527	848820	-	294	2	0	0
ABD30010-1	Chromosome	848820	849299	-	480	5	3	4
ABD30011-1	Chromosome	849301	850797	-	1497	4	11	11
ABD30012-1	Chromosome	850790	851119	-	330	2	1	2
ABD30013-1	Chromosome	851131	851559	-	429	3	3	1
ABD30014-1	Chromosome	851552	853957	-	2406	16	10	30
ABD30015-1	Chromosome	854088	854471	-	384	0	1	2
ABD30016-1	Chromosome	854535	855128	+	594	2	6	19
ABD30017-1	Chromosome	855577	855921	+	345	4	2	6
ABD30018-1	Chromosome	856283	857410	+	1128	0	2	2
ABD30019-1	Chromosome	857718	858908	+	1191	3	1	2
ABD30020-1	Chromosome	859017	860261	+	1245	5	1	0
ABD30021-1	Chromosome	860487	860678	+	192	0	0	0
ABD30022-1	Chromosome	860764	861693	-	930	0	1	0
ABD30023-1	Chromosome	861935	863314	-	1380	1	1	4
ABD30024-1	Chromosome	863304	864509	-	1206	0	0	1
ABD30025-1	Chromosome	864860	866191	+	1332	3	26	66
